year,area,age_group,sex,population
2022,I: Mar Menor,30-34,0,3542
2022,I: Mar Menor,35-39,0,4087
2022,I: Mar Menor,40-44,0,5482
2022,I: Mar Menor,45-49,0,5588
2022,I: Mar Menor,50-54,0,4902
2022,I: Mar Menor,55-59,0,4206
2022,I: Mar Menor,60-64,0,3206
2022,I: Mar Menor,65-69,0,2314
2022,I: Mar Menor,70-74,0,1876
2022,I: Mar Menor,75-79,0,1493
2022,I: Mar Menor,80-84,0,907
2022,I: Mar Menor,85-89,0,567
2022,I: Mar Menor,90-94,0,209
2022,I: Mar Menor,95+,0,39
2022,I: Mar Menor,0-4,1,2678
2022,I: Mar Menor,5-9,1,3467
2022,I: Mar Menor,10-14,1,3851
2022,I: Mar Menor,15-19,1,3533
2022,I: Mar Menor,20-24,1,3206
2022,I: Mar Menor,25-29,1,3226
2022,I: Mar Menor,30-34,1,3717
2022,I: Mar Menor,35-39,1,4267
2022,I: Mar Menor,40-44,1,4725
2022,I: Mar Menor,45-49,1,4666
2022,I: Mar Menor,50-54,1,4290
2022,I: Mar Menor,55-59,1,3688
2022,I: Mar Menor,60-64,1,2901
2022,I: Mar Menor,65-69,1,2264
2022,I: Mar Menor,70-74,1,1974
2022,I: Mar Menor,75-79,1,1687
2022,I: Mar Menor,80-84,1,1252
2022,I: Mar Menor,85-89,1,869
2022,I: Mar Menor,90-94,1,409
2022,I: Mar Menor,95+,1,99
2022, Vega Alta del Segura,0-4,0,1118
2022, Vega Alta del Segura,5-9,0,1425
2022, Vega Alta del Segura,10-14,0,1560
2022, Vega Alta del Segura,15-19,0,1567
2022, Vega Alta del Segura,20-24,0,1649
2022, Vega Alta del Segura,25-29,0,1638
2022, Vega Alta del Segura,30-34,0,1701
2022, Vega Alta del Segura,35-39,0,1800
2022, Vega Alta del Segura,40-44,0,2386
2022, Vega Alta del Segura,45-49,0,2488
2022, Vega Alta del Segura,50-54,0,2282
2022, Vega Alta del Segura,55-59,0,2003
2022, Vega Alta del Segura,60-64,0,1635
2022, Vega Alta del Segura,65-69,0,1146
2022, Vega Alta del Segura,70-74,0,937
2022, Vega Alta del Segura,75-79,0,802
2022, Vega Alta del Segura,80-84,0,585
2022, Vega Alta del Segura,85-89,0,395
2022, Vega Alta del Segura,90-94,0,169
2022, Vega Alta del Segura,95+,0,36
2022, Vega Alta del Segura,0-4,1,1098
2022, Vega Alta del Segura,5-9,1,1441
2022, Vega Alta del Segura,10-14,1,1514
2022, Vega Alta del Segura,15-19,1,1454
2022, Vega Alta del Segura,20-24,1,1475
2022, Vega Alta del Segura,25-29,1,1555
2022, Vega Alta del Segura,30-34,1,1673
2022, Vega Alta del Segura,35-39,1,1719
2022, Vega Alta del Segura,40-44,1,2078
